Species Name,Number of genes,Number of COGs
Ceratitis capitata,13600,6744
Selaginella moellendorffii,27364,5016
Bipolaris maydis,10396,6230
Brassica oleracea,43543,6898
Culex quinquefasciatus,16577,6020
Larimichthys crocea,21682,6916
Cucumis sativus,28015,6765
Trichosporon asahii,6003,3747
Eremothecium gossypii,4542,3222
Rhinopithecus roxellana,20756,7676
Ophiocordyceps sinensis,6203,4104
Millerozyma farinosa,10440,3607
Babesia bovis,3138,2338
Branchiostoma floridae,21988,5790
Volvox carteri,8907,4249
Trypanosoma cruzi,13964,4894
Python bivittatus,18708,6682
Tribolium castaneum,11627,5252
Rhizopus delemar,11319,4474
Auricularia delicata,12764,4987
Togninia minima,8382,4711
Pundamilia nyererei,21880,6826
Sporothrix schenckii,8269,5245
